Zip_Code,Name
77002,"Downtown, Midtown"
77003,East Downtown
77004,"South Central, Greater Third Ward"
77005,West University Place
77006,"Montrose, Hyde Park"
77007,"Rice Military, Memorial Park"
77008,"Shady Acres, Greater Heights, Lazybrook"
77009,"Northside Village, Woodland Heights"
77010,George R Brown
77011,"Greater East End, Second ward, Magnolia Park"
77012,"Harrisburg, Manchester"
77013,North Shore
77014,"Silverglen, Sablechase"
77015,Cloverleaf
77016,"East Little York, Homestead"
77017,"Meadowbrook, Allendale"
77018,Central Northwest
77019,"River Oaks, Fourth Ward"
77020,"Greater Fifth Ward, Denver Harbor, Port Houston"
77021,Greater OST
77022,Independence Heights
77023,"Greater Eastwood, Lawndale, Wayside, Gulfgate, Pine Valley"
77024,"Memorial Villages, Briargrove Park"
77025,"Braeswood Place, Willowbend Area"
77026,Kashmere Gardens
77027,"River Oaks, Bellaire Junction"
77028,"Trinity, Houston Gardens, Settegast"
77029,Jacinto City
77030,Texas Medical Center
77031,"Brays Oaks, Braeburn Gardens"
77032,"Greenbriar Colony, Aldine Estates"
77033,"Southeast Houston, Southpark"
77034,Edgebrook
77035,"Westbury, Southeast Houston"
77036,"Chinatown, Sharpstown"
77037,Aldine
77038,"Fallbrook, Forestwood"
77039,"High Meadows, Fairgreen"
77040,"Fairbanks, Northwest Crossing"
77041,"Lakes on Eldridge, Jersey Acres"
77042,"Briarforest, Westchase, Walnut Bend"
77043,"Spring Branch North, Spring Branch West"
77044,Summerwood
77045,Central Southwest
77046,"Greenway, Upper Kirby"
77047,"Cloverland, South Acres, Crestmont Park"
77048,"Minnetex, South Acres, Crestmont Park"
77049,"Houston Farms, Sheldon Park"
77050,"Shadowlake Estates, Forest Acres"
77051,"Sunnyside, Brookhaven"
77053,"Kellys Corner, Quail Bridge, Ridgegate"
77054,"Astrodome, South Main"
77055,Spring Branch East
77056,"West Oaks, Uptown"
77057,"Tanglewood, San Felipe"
77058,"Clear Lake Area, Nassau Bay"
77059,"Clear Lake Area, Pinebrook, Brookwood"
77060,Greenspoint
77061,"Hobby, Glenbrook Valley"
77062,"Clear Lake Area, Bay Knoll"
77063,Mid-west
77064,"Harvest Bend, North Houston"
77065,"Wortham Park, Tower Oaks"
77066,"Champions Point, Glennwood Forest, Kleinbrook"
77067,"Heritage Village, Green Oak Park"
77068,"Meyer Park, Collins Park"
77069,Champions
77070,Willowbrook
77071,"Brays Oaks, Fondren Park"
77072,Alief
77073,"Northridge Park, Remington Ranch"
77074,"Braeburn, Braes Timbers, Robindell"
77075,Greater Hobby Area
77076,"Northside, Northline"
77077,"Briar Forest, Eldridge"
77078,East Houston
77079,Energy Corridor
77080,Spring Branch Central
77081,Gulfton
77082,"Royal Oaks, Westchase"
77083,Mission Bend
77084,"Addicks, Park Ten"
77085,"Fondren Gardens, Corithian Pointe, Winchester"
77086,Northwest Park
77087,"Golfcrest, Bellfort, Reveille"
77088,"Inwood, Acres Homes"
77089,"Southbelt, Ellington"
77090,Cypress Station
77091,Greater Inwood
77092,"Forest Lake, Langwood"
77093,"Eastex, Jenson"
77094,"Windsor Park, Green Trails"
77095,"Copperfield, Canyon Lakes"
77096,Meyerland
77098,"Boulevard Oaks, Crowne Plaza"
77099,"Huntington Village, Alief"
77301,East Conroe
77302,Southeast Conroe
77303,Northeast Conroe
77304,West Conroe
77306,Far East Conroe
77316,South Montgomery
77318,West Willis
77327,East Cleveland
77328,West Cleveland
77336,Huffman
77338,North Humble
77339, North Humble
77345,Kingwood
77346,Atascocita
77354,East Magnolia
77355,West Magnolia
77356,North Montgomery
77357,New Caney
77362,Pinehurst
77365,Porter
77368,Romayor
77369,Rye
77372,Splendora
77373,East Spring
77375,East Tomball
77377,West Tomball
77378,East Willis
77379,Klein Area - Spring
77380,South Woodlands
77381,North Woodlands
77382,Spring Area - The Woodlands
77384,Southwest Conroe
77385,East Woodlands - Conroe
77386,Northeast Spring
77388,Southwest Spring
77389,Northwest Spring
77396,South Humble
77401,Bellaire
77406,Central Richmond
77407,Northeast Richmond
77417,Beasley
77418,Bellville
77422,Brazoria
77423,Brookshire
77429,East Cypress
77430,Damon
77433,West Cypress
77441,Weston Lakes
77444,Guy
77445,Hempstead
77446,Prairie View
77447,Hockley
77449,Northeast Katy
77450,Southeast Katy
77451,Kendleton
77459,Sienna Plantation - Missouri City
77461,Needville
77464,Orchard
77466,Pattison
77469,South Richmond
77471,Rosenberg
77473,San Felipe
77474,Sealy
77476,Simonton
77477,Stafford
77478,Northeast Sugar Land
77479,Southwest Sugar Land
77480,Sweeny
77481,Thompsons
77484,Waller
77485,Wallis
77486,West Columbia
77489,Missouri City
77493,Noorthwest Katy
77494,Southwest Katy
77498,Northwest Sugarland
77502,Central Pasadena
77503,Northwest Pasadena
77504,South Pasadena
77505,Southeast Pasadena
77506,North Pasadena
77510,East Santa Fe
77511,Alvin
77514,Anahuac
77515,Angleton
77517,West Santa Fe
77518,Bacliff
77520,Central Baytown
77521,North Baytown
77523,East Baytown
77530,Channelview
77531,Clute
77532,Crosby
77533,Daisetta
77534,Danbury
77535,Dayton
77536,Deer Park
77538,Devers
77539,Dickinson
77541,Freeport
77545,Fresno
77546,Friendswood
77547,Galena Park
77550,East End - Galveston
77551,Sea Wall - Galveston
77554,West End - Galveston
77560,Hankamer
77561,Hardin
77562,Highlands
77563,Hitchcock
77564,Hull
77565,Kemah
77566,Lake Jackson
77568,La Marque
77571,La Porte
77573,League City
77575,Liberty
77577,Liverpool
77578,Manvel
77580,Mont Belvieu
77581,East Pearland
77583,Rosharon
77584,West Pearland
77586,Seabrook
77587,South Houston
77590,West Texas City
77591,East Texas City
77597,Wallisville
77598,Webster
77617,Central Bolivar Peninsula
77623,East Bolivar Peninsula
77650,West Bolivar Peninsula
77661,Stowell
77665,Winnie
78931,Bleiblerville
78933,Cat Spring
78944,Industry
78950,New Ulm
